,route_name,route_link,busname,bustype,departing_time,duration,reaching_time,star_rating,price
39,Ludhiana to Delhi,https://www.redbus.in/bus-tickets/ludhiana-to-delhi,Zingbus Plus,Bharat Benz A/C Seater /Sleeper (2+1),23:40,06h 20m,06:00,4.8,411
40,Ludhiana to Delhi,https://www.redbus.in/bus-tickets/ludhiana-to-delhi,IntrCity SmartBus,A/C Seater / Sleeper (2+1),23:40,06h 20m,06:00,4.2,438
41,Ludhiana to Delhi,https://www.redbus.in/bus-tickets/ludhiana-to-delhi,NueGo,Electric A/C Seater (2+2),23:15,05h 50m,05:05,3.8,387
42,Ludhiana to Delhi,https://www.redbus.in/bus-tickets/ludhiana-to-delhi,SHRI BALAJII TRAVELS,Volvo A/C Semi Sleeper (2+2),00:05,06h 10m,06:15,0.0,4000
43,Ludhiana to Delhi,https://www.redbus.in/bus-tickets/ludhiana-to-delhi,Golden Temple Express Volvo,A/C Seater / Sleeper (2+2),23:25,05h 55m,05:20,4.2,499
44,Ludhiana to Delhi,https://www.redbus.in/bus-tickets/ludhiana-to-delhi,New Navyug Travels,A/C Sleeper (2+1),23:00,06h 30m,05:30,3.8,675
45,Ludhiana to Delhi,https://www.redbus.in/bus-tickets/ludhiana-to-delhi,IntrCity SmartBus,Bharat Benz A/C Seater /Sleeper (2+1),01:10,06h 05m,07:15,4.8,336
46,Ludhiana to Delhi,https://www.redbus.in/bus-tickets/ludhiana-to-delhi,NueGo,Electric A/C Seater (2+2),13:00,05h 50m,18:50,2.7,396
47,Ludhiana to Delhi,https://www.redbus.in/bus-tickets/ludhiana-to-delhi,Golden Temple Express Volvo,A/C Seater / Sleeper (2+2),23:30,05h 50m,05:20,3.9,549
48,Ludhiana to Delhi,https://www.redbus.in/bus-tickets/ludhiana-to-delhi,Golden Temple Express Volvo,Volvo Multi-Axle A/C Semi Sleeper (2+2),23:58,06h 22m,06:20,3.2,574
49,Ludhiana to Delhi,https://www.redbus.in/bus-tickets/ludhiana-to-delhi,Golden Temple Volvo Bus Service,A/C Seater / Sleeper (2+2),01:40,06h 15m,07:55,4.4,617
50,Ludhiana to Delhi,https://www.redbus.in/bus-tickets/ludhiana-to-delhi,IntrCity SmartBus,A/C Seater / Sleeper (2+1),23:45,06h 15m,06:00,3.7,449
51,Ludhiana to Delhi,https://www.redbus.in/bus-tickets/ludhiana-to-delhi,Classic Travels,A/C Seater / Sleeper (2+2),23:55,07h 00m,06:55,2.6,389
52,Ludhiana to Delhi,https://www.redbus.in/bus-tickets/ludhiana-to-delhi,Classic Travels,A/C Seater / Sleeper (2+2),23:30,07h 00m,06:30,2.4,389
53,Ludhiana to Delhi,https://www.redbus.in/bus-tickets/ludhiana-to-delhi,Khurana Bus Service,Bharat Benz A/C Seater (2+2),15:25,06h 05m,21:30,3.1,599
54,Ludhiana to Delhi,https://www.redbus.in/bus-tickets/ludhiana-to-delhi,ADTC tour and Travels,Bharat Benz A/C Seater /Sleeper (2+1),23:55,05h 20m,05:15,2.7,499
55,Ludhiana to Delhi,https://www.redbus.in/bus-tickets/ludhiana-to-delhi,ADTC tour and Travels,Volvo Multi-Axle I-Shift B11R Semi Sleeper (2+2),23:40,05h 30m,05:10,2.7,600
56,Ludhiana to Delhi,https://www.redbus.in/bus-tickets/ludhiana-to-delhi,Yolo Bus,VE A/C Seater / Sleeper (2+1),00:41,05h 47m,06:28,1.8,400
57,Ludhiana to Delhi,https://www.redbus.in/bus-tickets/ludhiana-to-delhi,IntrCity SmartBus,Bharat Benz A/C Seater /Sleeper (2+1),01:35,05h 45m,07:20,4.4,387
58,Ludhiana to Delhi,https://www.redbus.in/bus-tickets/ludhiana-to-delhi,Muskan Tour And Travels private Limited,Volvo Multi-Axle I-Shift B11R Semi Sleeper (2+2),23:59,05h 56m,05:55,4.3,508
59,Ludhiana to Delhi,https://www.redbus.in/bus-tickets/ludhiana-to-delhi,Golden Temple Express Volvo,A/C Seater / Sleeper (2+2),23:58,06h 52m,06:50,3.7,574
60,Ludhiana to Delhi,https://www.redbus.in/bus-tickets/ludhiana-to-delhi,K.S Travels,A/C Semi Sleeper / Sleeper (2+2),00:10,05h 20m,05:30,3.4,400
61,Ludhiana to Delhi,https://www.redbus.in/bus-tickets/ludhiana-to-delhi,NueGo,Electric A/C Seater/Sleeper (2+1),01:50,06h 35m,08:25,3.2,569
62,Ludhiana to Delhi,https://www.redbus.in/bus-tickets/ludhiana-to-delhi,Prince Travels,A/C Seater / Sleeper (2+2),00:50,05h 10m,06:00,3.1,1099
63,Ludhiana to Delhi,https://www.redbus.in/bus-tickets/ludhiana-to-delhi,IntrCity SmartBus,A/C Seater / Sleeper (2+1),00:45,06h 25m,07:10,3.7,381
64,Ludhiana to Delhi,https://www.redbus.in/bus-tickets/ludhiana-to-delhi,Golden Temple Express Volvo,A/C Seater / Sleeper (2+2),23:57,06h 53m,06:50,3.7,524
65,Ludhiana to Delhi,https://www.redbus.in/bus-tickets/ludhiana-to-delhi,IntrCity SmartBus,Bharat Benz A/C Seater /Sleeper (2+1),00:40,06h 05m,06:45,3.6,336
66,Ludhiana to Delhi,https://www.redbus.in/bus-tickets/ludhiana-to-delhi,MM Travels,A/C Seater / Sleeper (2+2),22:30,07h 30m,06:00,1.7,349
67,Ludhiana to Delhi,https://www.redbus.in/bus-tickets/ludhiana-to-delhi,Golden Temple Express Volvo,A/C Seater / Sleeper (2+2),23:59,06h 31m,06:30,2.4,474
68,Ludhiana to Delhi,https://www.redbus.in/bus-tickets/ludhiana-to-delhi,IntrCity SmartBus,VE A/C Seater / Sleeper (2+1),23:45,06h 10m,05:55,4.4,426
69,Ludhiana to Delhi,https://www.redbus.in/bus-tickets/ludhiana-to-delhi,FlixBus,A/C Sleeper (2+1),00:25,06h 10m,06:35,4.4,316
70,Ludhiana to Delhi,https://www.redbus.in/bus-tickets/ludhiana-to-delhi,FlixBus,A/C Sleeper (2+1),05:00,06h 05m,11:05,4.4,307
71,Ludhiana to Delhi,https://www.redbus.in/bus-tickets/ludhiana-to-delhi,Vijay Tour and Travels,Bharat Benz A/C Seater /Sleeper (2+1),17:50,07h 30m,01:20,2.2,700
72,Ludhiana to Delhi,https://www.redbus.in/bus-tickets/ludhiana-to-delhi,NAYAR TRAVELS (OPC) PVT LTD,A/C Sleeper (2+1),14:30,08h 00m,22:30,2.0,1799
73,Ludhiana to Delhi,https://www.redbus.in/bus-tickets/ludhiana-to-delhi,Travel Point,A/C Seater / Sleeper (2+2),23:25,05h 55m,05:20,3.5,949
74,Ludhiana to Delhi,https://www.redbus.in/bus-tickets/ludhiana-to-delhi,Banjara Satguru Travels,A/C Seater / Sleeper (2+2),02:20,04h 55m,07:15,2.9,719
75,Ludhiana to Delhi,https://www.redbus.in/bus-tickets/ludhiana-to-delhi,Banjara Satguru Travels,A/C Seater / Sleeper (2+1),02:15,04h 55m,07:10,2.9,629
76,Ludhiana to Delhi,https://www.redbus.in/bus-tickets/ludhiana-to-delhi,SHREE SATGURU TRAVELS,A/C Seater / Sleeper (2+2),00:35,05h 25m,06:00,2.8,499
77,Delhi to Ludhiana,https://www.redbus.in/bus-tickets/delhi-to-ludhiana,PEPSU (Punjab) - 67064,Volvo AC Seater (2+2),01:10,06h 48m,07:58,3.6,845
78,Delhi to Ludhiana,https://www.redbus.in/bus-tickets/delhi-to-ludhiana,PEPSU (Punjab) - 67079,Volvo AC Seater (2+2),04:40,06h 40m,11:20,3.5,845
79,Delhi to Ludhiana,https://www.redbus.in/bus-tickets/delhi-to-ludhiana,PEPSU (Punjab) - 67130,Volvo AC Seater (2+2),09:05,05h 45m,14:50,4.9,845
80,Delhi to Ludhiana,https://www.redbus.in/bus-tickets/delhi-to-ludhiana,PEPSU (Punjab) - 67165,Volvo AC Seater (2+2),11:10,06h 00m,17:10,3.5,845
81,Delhi to Ludhiana,https://www.redbus.in/bus-tickets/delhi-to-ludhiana,PEPSU (Punjab) - 67122,Volvo AC Seater (2+2),11:10,06h 20m,17:30,3.2,845
82,Delhi to Ludhiana,https://www.redbus.in/bus-tickets/delhi-to-ludhiana,PEPSU (Punjab) - 67123,Volvo AC Seater (2+2),13:45,06h 10m,19:55,3.3,845
83,Delhi to Ludhiana,https://www.redbus.in/bus-tickets/delhi-to-ludhiana,PEPSU (Punjab) - 67154,Volvo AC Seater (2+2),16:50,06h 00m,22:50,3.9,845
84,Delhi to Ludhiana,https://www.redbus.in/bus-tickets/delhi-to-ludhiana,PEPSU (Punjab) - 67132,Volvo AC Seater (2+2),17:40,06h 00m,23:40,3.7,845
85,Delhi to Ludhiana,https://www.redbus.in/bus-tickets/delhi-to-ludhiana,PEPSU (Punjab) - 67121,Volvo AC Seater (2+2),21:50,07h 00m,04:50,4.0,845
86,Delhi to Ludhiana,https://www.redbus.in/bus-tickets/delhi-to-ludhiana,RSRTC - 170038,Express Non AC Seater 2+3,16:00,07h 00m,23:00,2.2,395
87,Delhi to Ludhiana,https://www.redbus.in/bus-tickets/delhi-to-ludhiana,RSRTC - 156675,Express Non AC Seater 2+3,22:30,06h 45m,05:15,2.2,391
88,Delhi to Ludhiana,https://www.redbus.in/bus-tickets/delhi-to-ludhiana,Yolo Bus,VE A/C Seater / Sleeper (2+1),23:30,05h 54m,05:24,4.5,450
89,Delhi to Ludhiana,https://www.redbus.in/bus-tickets/delhi-to-ludhiana,Laxmi holidays,Bharat Benz A/C Seater /Sleeper (2+1),22:20,06h 40m,05:00,4.5,399
90,Delhi to Ludhiana,https://www.redbus.in/bus-tickets/delhi-to-ludhiana,IntrCity SmartBus,Bharat Benz A/C Seater /Sleeper (2+1),21:45,07h 30m,05:15,4.7,326
91,Delhi to Ludhiana,https://www.redbus.in/bus-tickets/delhi-to-ludhiana,AdGolden Temple Express Volvo,Volvo Multi-Axle A/C Semi Sleeper (2+2),22:50,06h 16m,05:06,4.1,599
